Dataset x,Dataset y
1.906559503813E-1,1.383605632158E0
1.999917632347E-1,1.432617521653E0
1.840889429791E-1,1.410876068953E0
1.840361769665E-1,1.428765689481E0
2.033363590167E-1,1.652022161937E0
2.111725170644E-1,1.701967585756E0
1.797936296465E-1,1.682967888595E0
1.444730573570E-1,1.646998730813E0
1.190955663203E-1,1.623323337378E0
1.279240884823E-1,1.675157228915E0
1.095125863554E-1,1.658110196674E0
9.512330669830E-2,1.630727414774E0
4.274647484271E-2,1.625738757135E0
5.127599320504E-2,1.609777727576E0
3.421417932182E-2,1.642641345670E0
7.991291743295E-2,1.712562799111E0
4.762868714041E-2,1.493003015586E0
5.129080832223E-2,1.435586642285E0
2.787027392850E-2,1.425103774035E0
3.492235475363E-2,1.402543806999E0
5.684878865882E-2,1.412077091623E0
8.332973015208E-2,1.399978593769E0
1.142318756227E-1,1.411443144245E0
1.276565627511E-1,1.427521868676E0
1.211228812516E-1,1.443493597769E0
1.320555494601E-1,1.458617388808E0
1.430354293640E-1,1.457734677269E0
1.500402984937E-1,1.451181212811E0
1.570451676233E-1,1.444627748353E0
1.670576778400E-1,1.433382538320E0
1.729896452573E-1,1.452245816425E0
1.619875480849E-1,1.460660999766E0
1.758362111480E-1,1.502164491410E0
1.544531709954E-1,1.477568938067E0
1.810553781407E-1,1.593525135720E0
1.780171883096E-1,1.608574030022E0
1.676223595366E-1,1.580271088215E0
1.640879876484E-1,1.594375748658E0
1.501226839260E-1,1.592417733971E0
1.591761559310E-1,1.567985348519E0
1.472205748641E-1,1.561330238490E0
1.873502240044E-1,1.658527478492E0
1.733765888063E-1,1.659394140731E0
6.681038069705E-2,1.587263233559E0
7.672013604712E-2,1.610855705607E0
6.788050525091E-2,1.562788049971E0
6.460996342551E-2,1.487444607773E0
6.773146801328E-2,1.444148944215E0
7.576202715991E-2,1.428185239772E0
8.020267124719E-2,1.445157375277E0
8.923114882522E-2,1.429199020601E0
7.104089005847E-2,1.506310560761E0
7.998883003837E-2,1.517657416365E0
9.145378336522E-2,1.521485174585E0
1.028826336308E-1,1.537553199483E0
9.534825654134E-2,1.554461137784E0
8.186802624181E-2,1.557213592857E0
1.449174027260E-1,1.496349294785E0
1.358750393552E-1,1.517015444337E0
1.288062955787E-1,1.545224765224E0
1.362462492773E-1,1.560329832078E0
1.609387114751E-1,1.647087001967E0
1.809415146399E-1,1.632129053703E0
1.714640667002E-1,1.631136671942E0
6.817210689930E-2,1.463924357577E0
8.726493138214E-2,1.588314462755E0
1.092607942512E-1,1.574308773000E0
9.927327846158E-2,1.577079952256E0
1.232233208151E-1,1.577208346662E0
1.276639649024E-1,1.594180482166E0
1.485480458393E-1,1.618773360626E0
1.396167688107E-1,1.601777151170E0
1.615293169231E-1,1.616018230670E0
1.336875785520E-1,1.581972314090E0
1.257986544917E-1,1.549916510799E0
1.083656306864E-1,1.539465741151E0
1.098069651624E-1,1.558304945305E0
1.198083667448E-1,1.550825971173E0
1.254441075210E-1,1.500952769206E0
1.125628141451E-1,1.469811776056E0
9.862805916681E-2,1.457496612642E0
8.564401092442E-2,1.461193301573E0
7.410685147512E-2,1.481846076707E0
8.062664718187E-2,1.470582142490E0
8.653917448924E-2,1.496036333421E0
9.208326903305E-2,1.477234577635E0
1.010201003787E-1,1.492347669140E0
1.265114549163E-1,1.477419144594E0
1.409646092202E-1,1.483146070065E0
1.174607600698E-1,1.500909971071E0
1.129090296403E-1,1.521600194574E0
8.381942856771E-2,1.572289235993E0
